C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,P-VALUE,PROPORTION,STATISTICAL TEST
1,3,0,3,3,2,2,3,1,2,0.834308,19/20,NonOverlappingTemplate
7,0,1,1,3,1,0,4,2,1,0.012650,20/20,NonOverlappingTemplate
3,3,1,3,3,1,1,1,2,2,0.911413,19/20,NonOverlappingTemplate
3,3,1,1,1,1,0,4,5,1,0.213309,20/20,NonOverlappingTemplate
0,1,2,3,5,2,4,0,0,3,0.122325,20/20,NonOverlappingTemplate
1,1,2,2,2,3,2,5,0,2,0.534146,20/20,NonOverlappingTemplate
2,1,2,2,0,2,0,1,5,5,0.122325,20/20,NonOverlappingTemplate
3,0,1,2,4,3,1,1,3,2,0.637119,20/20,NonOverlappingTemplate
2,3,3,1,2,1,1,0,4,3,0.637119,20/20,NonOverlappingTemplate
1,2,2,3,1,0,2,2,2,5,0.534146,20/20,NonOverlappingTemplate
1,3,4,1,3,2,4,0,2,0,0.350485,20/20,NonOverlappingTemplate
0,2,2,3,2,3,1,7,0,0,0.017912,20/20,NonOverlappingTemplate
2,2,0,4,4,4,1,0,1,2,0.275709,20/20,NonOverlappingTemplate
1,4,1,2,5,0,2,3,0,2,0.213309,20/20,NonOverlappingTemplate
1,4,0,0,1,0,2,5,2,5,0.035174,20/20,NonOverlappingTemplate
1,1,2,2,1,0,5,1,4,3,0.275709,20/20,NonOverlappingTemplate
1,0,4,3,5,0,2,0,3,2,0.122325,20/20,NonOverlappingTemplate
2,4,2,2,3,2,1,2,0,2,0.834308,20/20,NonOverlappingTemplate
2,2,0,0,4,1,2,3,3,3,0.534146,19/20,NonOverlappingTemplate
4,1,2,2,1,5,2,1,1,1,0.437274,19/20,OverlappingTemplate
2,2,0,3,0,2,2,2,5,2,0.437274,20/20,Universal
4,2,1,0,2,2,1,2,4,2,0.637119,19/20,ApproximateEntropy
2,2,1,0,0,3,0,1,2,1,0.350485,12/12,RandomExcursions
1,0,0,5,2,1,1,1,1,0,0.017912,12/12,RandomExcursions
0,0,0,1,5,2,2,0,0,2,0.004301,12/12,RandomExcursions
2,3,1,2,1,1,0,1,0,1,0.534146,11/12,RandomExcursions
3,0,1,2,0,3,0,0,2,1,0.122325,11/12,RandomExcursions
1,3,2,0,1,2,0,0,2,1,0.350485,12/12,RandomExcursions
1,0,3,1,1,2,3,1,0,0,0.213309,12/12,RandomExcursions
0,3,0,0,2,1,3,2,1,0,0.122325,12/12,RandomExcursions
1,1,1,3,1,1,1,0,0,3,0.350485,12/12,RandomExcursionsVariant
1,1,1,1,0,2,2,2,1,1,0.911413,12/12,RandomExcursionsVariant
1,1,1,2,1,0,2,2,0,2,0.739918,12/12,RandomExcursionsVariant
0,2,2,0,2,0,2,1,1,2,0.534146,12/12,RandomExcursionsVariant
1,1,1,0,4,0,0,1,1,3,0.066882,12/12,RandomExcursionsVariant
1,1,3,0,1,2,0,1,3,0,0.213309,12/12,RandomExcursionsVariant
1,1,2,1,2,0,2,1,1,1,0.911413,12/12,RandomExcursionsVariant
1,0,2,3,1,0,2,2,1,0,0.350485,12/12,RandomExcursionsVariant
1,4,1,1,0,0,0,3,1,1,0.066882,12/12,RandomExcursionsVariant
4,2,1,0,0,4,0,0,1,0,0.004301,12/12,RandomExcursionsVariant
4,1,1,2,0,1,1,0,0,2,0.122325,12/12,RandomExcursionsVariant
5,1,1,0,1,1,0,0,0,3,0.004301,12/12,RandomExcursionsVariant
5,1,1,1,1,1,0,0,0,2,0.017912,12/12,RandomExcursionsVariant
3,2,1,2,1,0,1,1,0,1,0.534146,12/12,RandomExcursionsVariant
2,1,1,1,0,2,2,1,1,1,0.911413,12/12,RandomExcursionsVariant
2,1,0,0,3,1,1,2,0,2,0.350485,12/12,RandomExcursionsVariant
2,1,0,1,1,2,3,0,0,2,0.350485,12/12,RandomExcursionsVariant
1,1,0,1,3,0,2,3,1,0,0.213309,12/12,RandomExcursionsVariant
1,2,3,2,2,1,2,1,2,4,0.911413,20/20,Serial
1,0,5,2,2,1,1,4,1,3,0.275709,20/20,Serial
1,1,3,1,2,3,2,5,1,1,0.534146,20/20,LinearComplexity
