C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,P-VALUE,PROPORTION,STATISTICAL TEST
0,1,0,1,1,6,1,0,2,2,0.000439,14/14,RandomExcursions
0,2,1,1,1,0,4,1,3,1,0.066882,14/14,RandomExcursions
0,0,1,2,1,0,1,4,3,2,0.035174,14/14,RandomExcursions
1,0,0,2,1,2,1,2,2,3,0.350485,14/14,RandomExcursions
0,0,2,1,0,3,0,5,1,2,0.002043,14/14,RandomExcursionsVariant
0,1,1,2,0,4,0,3,2,1,0.035174,14/14,RandomExcursionsVariant
0,1,1,3,3,1,1,1,2,1,0.350485,14/14,RandomExcursionsVariant
0,2,1,4,0,1,3,2,0,1,0.035174,14/14,RandomExcursionsVariant
0,2,1,2,4,2,2,0,1,0,0.066882,14/14,RandomExcursionsVariant
0,2,2,1,1,4,3,1,0,0,0.035174,14/14,RandomExcursionsVariant
0,1,2,3,0,2,3,3,0,0,0.035174,14/14,RandomExcursionsVariant
0,1,2,0,1,1,1,4,2,2,0.122325,14/14,RandomExcursionsVariant
0,2,1,4,2,0,0,0,3,2,0.017912,14/14,RandomExcursionsVariant
2,1,1,2,2,3,1,1,0,1,0.534146,14/14,RandomExcursionsVariant
1,1,1,1,4,3,1,1,1,0,0.122325,14/14,RandomExcursionsVariant
1,3,0,3,1,1,3,0,1,1,0.122325,14/14,RandomExcursionsVariant
0,4,1,0,2,0,0,2,2,3,0.017912,14/14,RandomExcursionsVariant
0,2,0,3,0,2,1,3,2,1,0.122325,14/14,RandomExcursionsVariant
0,1,2,0,3,1,3,1,2,1,0.213309,14/14,RandomExcursionsVariant
0,2,1,1,1,4,1,2,1,1,0.213309,14/14,RandomExcursionsVariant
0,2,4,0,2,0,3,2,1,0,0.017912,14/14,RandomExcursionsVariant
0,3,1,3,1,1,3,0,1,1,0.122325,14/14,RandomExcursionsVariant
0,3,4,2,1,3,4,2,0,1,0.350485,20/20,Serial
1,1,2,3,4,1,3,1,2,2,0.834308,20/20,Serial
6,0,3,2,1,1,1,2,1,3,0.162606,20/20,LinearComplexity
